site_id,geo_lat,geo_lon,notes
CHI line,4010.02152 N,00325.70071 W,
CHI ref,4010.15302 N,00325.37866 W,
CUL line,4018.44377 N,00006.68249 W,
CUL ref,4018.48278 N,00006.52182 W,
LUC line,3702.99708 N,00210.91457 W,
LUC ref,3702.84694 N,00211.04070 W,
MAS line,4110.50462 N,00019.63505 E,
MAS ref,4110.40776 N,00019.55769 E,
MNR line,3954.32573 N,00411.02671 E,
MNR ref,3954.19412 N,00410.86874 E,
SAN line,4152.43478 N,00119.95119 E,
SAN ref,4152.53464 N,00120.06948 E,
TRA line,4031.55467 N,00015.81739 E,
TRA ref,4031.66024 N,00015.66373 E,
VIL line,4110.38068 N,00024.48580 E,
VIL ref,4110.28604 N,00024.46322 E,
