Device ID, Latitude, Longitude, Orientation
50100,30.4000000000,89.6000000000,1 - Geographic
50127,37.1000000000,119.7000000000,1 - Geographic
50112,48.3000000000,117.1000000000,2 - Geomagnetic
50131,37.8000000000,84.7000000000,2 - Geomagnetic
50132,38.0000000000,84.8000000000,2 - Geomagnetic
50103,33.3000000000,89.2000000000,1 - Geographic
50104,36.0000000000,84.1000000000,1 - Geographic
50109,35.6000000000,84.7000000000,1 - Geographic
50115,41.3000000000,90.5000000000,1 - Geographic
50116,37.2000000000,86.9000000000,1 - Geographic
50117,36.1000000000,81.0000000000,1 - Geographic
50118,39.4000000000,87.4000000000,1 - Geographic
50119,35.0000000000,85.3000000000,1 - Geographic
50120,34.3000000000,88.8000000000,1 - Geographic
50122,35.6000000000,89.3000000000,1 - Geographic
