MagnetometerDeviceID,SampleDateTime,GeoBfieldMeasureNorth,GeoBfieldMeasureEast,GeoBfieldMeasureVertical
50117,8/4/2024 12:00:00 AM,22227.95,-2985.86,44264.98
50117,8/4/2024 12:00:01 AM,22227.98,-2985.85,44264.95
50117,8/4/2024 12:00:02 AM,22227.98,-2985.84,44264.98
50117,8/4/2024 12:00:03 AM,22227.97,-2985.87,44264.86
50117,8/4/2024 12:00:04 AM,22227.95,-2985.82,44264.95
50117,8/4/2024 12:00:05 AM,22227.97,-2985.82,44265.02
50117,8/4/2024 12:00:06 AM,22228.12,-2985.91,44264.66
50117,8/4/2024 12:00:07 AM,22227.95,-2985.79,44265.06
50117,8/4/2024 12:00:08 AM,22227.94,-2985.85,44265.00
50117,8/4/2024 12:00:09 AM,22227.95,-2985.88,44264.89
50117,8/4/2024 12:00:10 AM,22227.90,-2985.86,44264.97
50117,8/4/2024 12:00:11 AM,22227.90,-2985.90,44264.89
50117,8/4/2024 12:00:12 AM,22227.89,-2985.87,44264.93
50117,8/4/2024 12:00:13 AM,22227.83,-2985.89,44264.91
50117,8/4/2024 12:00:14 AM,22227.86,-2985.88,44264.97
50117,8/4/2024 12:00:15 AM,22227.88,-2985.92,44264.83
50117,8/4/2024 12:00:16 AM,22227.86,-2985.91,44264.79
50117,8/4/2024 12:00:17 AM,22227.89,-2985.86,44264.96
50117,8/4/2024 12:00:18 AM,22227.86,-2985.93,44264.87
50117,8/4/2024 12:00:19 AM,22227.82,-2985.95,44264.91
50117,8/4/2024 12:00:20 AM,22227.85,-2985.95,44264.97
50117,8/4/2024 12:00:21 AM,22227.85,-2985.95,44264.91
50117,8/4/2024 12:00:22 AM,22227.81,-2985.96,44264.89
50117,8/4/2024 12:00:23 AM,22227.83,-2985.99,44264.76
50117,8/4/2024 12:00:24 AM,22227.80,-2985.98,44264.87
50117,8/4/2024 12:00:25 AM,22227.79,-2985.99,44264.88
50117,8/4/2024 12:00:26 AM,22227.79,-2986.00,44264.86
