GIC Current (amps),,
Time (MDT = GMT-6),89S_T1,89S_T2
2021-10-11 18:00,-5.517001,-5.695705
2021-10-11 18:00,-5.517403,-5.694751
2021-10-11 18:00,-5.517806,-5.693796
2021-10-11 18:00,-5.518208,-5.692842
2021-10-11 18:00,-5.518610,-5.691887
2021-10-11 18:00,-5.519012,-5.690933
2021-10-11 18:00,-5.519414,-5.689978
2021-10-11 18:00,-5.519817,-5.689024
2021-10-11 18:00,-5.520219,-5.688069
2021-10-11 18:00,-5.520621,-5.687115
2021-10-11 18:00,-5.521023,-5.686161
2021-10-11 18:00,-5.521426,-5.685206
2021-10-11 18:00,-5.521828,-5.684251
2021-10-11 18:00,-5.522230,-5.683297
2021-10-11 18:00,-5.522633,-5.682343
2021-10-11 18:00,-5.523035,-5.681388
2021-10-11 18:00,-5.523437,-5.680433
2021-10-11 18:00,-5.523839,-5.679479
2021-10-11 18:00,-5.524241,-5.678524
2021-10-11 18:00,-5.524644,-5.677570
2021-10-11 18:00,-5.525046,-5.676616
2021-10-11 18:00,-5.525448,-5.675661
2021-10-11 18:00,-5.525850,-5.674706
2021-10-11 18:00,-5.526253,-5.673752
2021-10-11 18:00,-5.526655,-5.672798
2021-10-11 18:00,-5.527057,-5.671843
2021-10-11 18:00,-5.527460,-5.670889
2021-10-11 18:00,-5.527862,-5.669934
2021-10-11 18:00,-5.528264,-5.668980
2021-10-11 18:00,-5.528666,-5.668025
2021-10-11 18:01,-5.529068,-5.667071
2021-10-11 18:01,-5.529471,-5.666116
2021-10-11 18:01,-5.529873,-5.665162
2021-10-11 18:01,-5.530275,-5.664207
2021-10-11 18:01,-5.530677,-5.663253
2021-10-11 18:01,-5.531080,-5.662298
2021-10-11 18:01,-5.531482,-5.661344
2021-10-11 18:01,-5.531884,-5.660389
2021-10-11 18:01,-5.532287,-5.659435
2021-10-11 18:01,-5.532689,-5.658481
2021-10-11 18:01,-5.533091,-5.657526
2021-10-11 18:01,-5.533493,-5.656571
2021-10-11 18:01,-5.533895,-5.655617
2021-10-11 18:01,-5.534297,-5.654663
2021-10-11 18:01,-5.534700,-5.653708
2021-10-11 18:01,-5.535102,-5.652753
2021-10-11 18:01,-5.535504,-5.651799
