GICXFNeutralAmps,time
0.108095,0
0.118288,60
0.110732,120
0.11967,180
0.113371,240
0.120513,300
0.103809,360
0.119132,420
0.127993,480
0.129328,540
0.154141,600
0.126773,660
0.083267,720
0.066472,780
0.073636,840
0.113556,900
0.098239,960
0.081529,1020
0.087027,1080
0.080331,1140
0.094699,1200
0.099295,1260
0.103772,1320
0.10094,1380
0.101595,1440
0.099628,1500
0.090702,1560
0.079042,1620
0.068791,1680
0.086376,1740
0.064519,1800
0.068509,1860
0.07688,1920
0.087895,1980
0.118019,2040
0.093249,2100
0.103964,2160
0.062466,2220
0.026157,2280
-0.079748,2340
-0.203397,2400
-0.207196,2460
-0.216295,2520
-0.177189,2580
-0.0851,2640
-0.009633,2700
0.023995,2760
0.013311,2820
-0.005371,2880
-0.049634,2940
-0.034939,3000
0.016127,3060
0.04955,3120
0.064608,3180
0.04363,3240
-0.00484,3300
-0.008791,3360
0.004145,3420
0.03261,3480
0.036114,3540
0.054612,3600
0.041111,3660
0.036205,3720
0.026736,3780
0.012564,3840
0.032305,3900
0.053895,3960
0.068358,4020
0.059424,4080
0.064321,4140
-0.026364,4200
0.052885,4260
0.059734,4320
-0.025403,4380
-0.011413,4440
0.008178,4500
0.040975,4560
0.022071,4620
0.05511,4680
0.055312,4740
0.107188,4800
0.067426,4860
0.065027,4920
0.071178,4980
0.000309,5040
0.003953,5100
0.074005,5160
0.002836,5220
0.025088,5280
0.023602,5340
0.036497,5400
-0.01968,5460
0.000427,5520
0.026398,5580
0.006089,5640
-0.013839,5700
-0.023071,5760
-0.022393,5820
-0.019283,5880
-0.037107,5940
-0.067485,6000
-0.034445,6060
-0.017374,6120
-0.019578,6180
-0.011509,6240
-0.002969,6300
0.020555,6360
0.013613,6420
0.003886,6480
-0.012623,6540
-0.012565,6600
-0.02493,6660
-0.034316,6720
-0.056647,6780
-0.047309,6840
-0.083751,6900
-0.042388,6960
-0.017078,7020
-0.000736,7080
0.027181,7140
0.059911,7200
0.078044,7260
0.119713,7320
0.086442,7380
0.102965,7440
0.105634,7500
0.094047,7560
0.097022,7620
0.110984,7680
0.116395,7740
0.134786,7800
0.125395,7860
0.084353,7920
0.043985,7980
0.017799,8040
0.008553,8100
0.014794,8160
0.004173,8220
0.055284,8280
0.074925,8340
0.062563,8400
0.001384,8460
-0.025678,8520
-0.026682,8580
0.106043,8640
0.130176,8700
0.130449,8760
0.074034,8820
0.043421,8880
0.047793,8940
0.059264,9000
0.001138,9060
-0.098147,9120
-0.067398,9180
-0.058071,9240
-0.030411,9300
0.01482,9360
0.05121,9420
0.063075,9480
0.052044,9540
0.024391,9600
0.002473,9660
0.003268,9720
0.004424,9780
-0.015692,9840
-0.02944,9900
-0.05727,9960
-0.035846,10020
0.01966,10080
0.075685,10140
0.096478,10200
0.100294,10260
0.102626,10320
0.095544,10380
0.091474,10440
0.080219,10500
0.076679,10560
0.076958,10620
0.055003,10680
0.046821,10740
-0.002842,10800
0.026719,10860
0.035224,10920
0.036658,10980
0.046721,11040
0.024776,11100
