GICXFNeutralAmps,time 
-0.702985,0
-1.262765,60
-1.555543,120
-1.439936,180
-0.591439,240
-0.898957,300
-1.179797,360
-0.383974,420
-0.001583,480
-0.210481,540
-0.396023,600
-1.186916,660
-0.934378,720
-0.045491,780
0.295636,840
0.450644,900
-0.294637,960
-0.410628,1020
-1.044109,1080
-1.187756,1140
-0.642885,1200
-0.952468,1260
-1.080698,1320
-2.61444,1380
-3.508336,1440
-2.397966,1500
-2.639072,1560
-2.995126,1620
-5.017762,1680
-5.805956,1740
-5.201978,1800
-2.574274,1860
1.175016,1920
3.331304,1980
2.602854,2040
4.429394,2100
5.069463,2160
4.937881,2220
4.400789,2280
2.986064,2340
0.785213,2400
0.537323,2460
0.356335,2520
-1.291283,2580
-1.898859,2640
-3.228866,2700
-3.248229,2760
-3.16442,2820
-1.476938,2880
-0.424743,2940
-1.693846,3000
-0.52488,3060
0.701366,3120
1.548907,3180
2.391729,3240
2.253873,3300
2.271294,3360
2.353625,3420
2.547346,3480
2.45575,3540
2.37299,3600
2.413858,3660
2.201554,3720
1.786719,3780
2.087228,3840
1.989971,3900
0.593718,3960
0.407425,4020
0.766822,4080
2.054457,4140
2.947768,4200
2.1929,4260
1.674147,4320
1.521655,4380
1.302851,4440
1.235188,4500
0.828719,4560
0.624881,4620
1.723471,4680
1.272359,4740
0.353746,4800
0.070352,4860
0.040582,4920
1.025546,4980
1.606017,5040
0.967618,5100
1.296452,5160
3.310474,5220
3.496386,5280
2.041584,5340
-1.110061,5400
0.928994,5460
2.374891,5520
1.728593,5580
1.707022,5640
1.877176,5700
2.084562,5760
1.145244,5820
0.787223,5880
0.555107,5940
0.890688,6000
1.002852,6060
1.773306,6120
2.83882,6180
1.998641,6240
1.819964,6300
1.47722,6360
0.410669,6420
-1.267532,6480
-0.739019,6540
0.334238,6600
1.913233,6660
1.876097,6720
1.180171,6780
-0.63448,6840
-0.833457,6900
-0.689451,6960
-0.127438,7020
-0.143899,7080
0.466891,7140
0.429511,7200
1.099587,7260
3.470397,7320
2.510271,7380
7.271395,7440
8.886748,7500
-2.74837,7560
-8.997044,7620
0.221697,7680
0.580921,7740
7.99037,7800
10.848793,7860
5.2618,7920
4.713051,7980
2.123927,8040
7.548075,8100
2.35479,8160
0.063239,8220
1.17914,8280
2.001886,8340
-3.264759,8400
4.375713,8460
3.063474,8520
-3.196722,8580
4.068793,8640
1.817973,8700
1.948183,8760
-0.683923,8820
-1.158109,8880
-0.396663,8940
-3.422975,9000
-1.70934,9060
-2.967138,9120
-0.551814,9180
3.223823,9240
6.061151,9300
0.22867,9360
-2.385716,9420
-0.363926,9480
3.22805,9540
3.429674,9600
2.639379,9660
-0.304723,9720
0.689064,9780
3.107838,9840
5.726293,9900
5.94008,9960
3.431331,10020
0.535211,10080
0.193763,10140
-0.60398,10200
-3.938647,10260
-5.707291,10320
-4.756484,10380
-3.395272,10440
-0.502395,10500
0.057463,10560
0.444453,10620
-0.114132,10680
-0.469438,10740
-0.556952,10800
-1.071185,10860
-0.621224,10920
-0.473664,10980
-1.214311,11040
-1.498899,11100
-0.616952,11160
-0.815198,11220
0.515489,11280
1.627183,11340
2.013706,11400
3.033566,11460
4.837153,11520
5.830304,11580
5.129257,11640
2.87569,11700
1.068668,11760
-0.484872,11820
-3.155053,11880
-4.46477,11940
-3.867275,12000
-3.49409,12060
-2.518098,12120
-1.769153,12180
-0.445464,12240
1.17143,12300
2.636818,12360
3.602775,12420
4.223211,12480
4.095751,12540
3.892167,12600
3.829634,12660
3.256077,12720
2.675172,12780
2.275832,12840
1.927958,12900
1.523104,12960
1.493011,13020
1.887972,13080
2.354771,13140
2.756042,13200
2.641224,13260
2.758825,13320
2.863277,13380
2.653462,13440
2.30553,13500
1.840732,13560
1.406777,13620
1.16815,13680
0.945116,13740
0.967371,13800
1.134316,13860
1.397128,13920
1.455439,13980
1.44273,14040
1.417058,14100
1.408647,14160
1.393042,14220
1.30292,14280
1.207498,14340
1.287101,14400
1.296099,14460
1.175089,14520
1.421633,14580
1.778504,14640
1.874167,14700
1.660603,14760
1.064578,14820
0.353523,14880
-0.094966,14940
-0.560209,15000
-0.661324,15060
-0.223638,15120
0.112036,15180
0.331349,15240
0.855656,15300
1.403359,15360
1.197945,15420
0.559071,15480
0.605168,15540
0.930383,15600
1.39635,15660
2.410718,15720
2.899286,15780
2.432099,15840
2.250806,15900
2.069941,15960
0.79549,16020
-0.974902,16080
-0.313007,16140
1.606122,16200
3.192583,16260
3.719671,16320
4.47317,16380
4.122113,16440
3.209629,16500
2.466352,16560
1.883891,16620
1.121642,16680
0.718298,16740
-0.135774,16800
-1.225695,16860
-0.698298,16920
1.216353,16980
2.243576,17040
2.845655,17100
2.579776,17160
2.400782,17220
2.163242,17280
1.901296,17340
1.420316,17400
0.843459,17460
0.741018,17520
0.184389,17580
-0.17358,17640
-0.268645,17700
-0.267074,17760
-0.482908,17820
-0.416594,17880
-0.386081,17940
-0.248106,18000
-0.35117,18060
-0.333925,18120
0.122793,18180
0.501015,18240
0.519173,18300
0.637524,18360
0.583826,18420
0.247449,18480
0.171781,18540
0.43635,18600
0.459291,18660
-0.127777,18720
-0.941738,18780
-1.840885,18840
-1.801977,18900
-0.68754,18960
1.224139,19020
2.3576,19080
1.865709,19140
0.689806,19200
-0.034081,19260
0.01473,19320
0.429908,19380
0.764893,19440
0.686493,19500
-0.349522,19560
-0.287809,19620
0.148403,19680
0.798559,19740
0.887217,19800
0.644364,19860
0.599735,19920
0.244201,19980
0.210955,20040
0.447896,20100
0.738822,20160
1.472393,20220
1.940809,20280
2.294076,20340
1.877703,20400
1.209716,20460
0.839086,20520
0.992205,20580
0.735212,20640
0.374268,20700
-0.384341,20760
0.295795,20820
0.02628,20880
-0.38116,20940
-0.128757,21000
-0.641995,21060
-0.291981,21120
-0.02922,21180
0.521998,21240
0.748626,21300
0.940178,21360
1.18977,21420
1.029831,21480
1.213947,21540
1.210719,21600
0.95731,21660
1.05345,21720
1.028672,21780
1.398803,21840
1.419507,21900
1.12345,21960
0.902178,22020
1.192566,22080
1.888072,22140
2.110193,22200
0.731918,22260
-0.673587,22320
-0.281114,22380
0.3942,22440
-0.097477,22500
-0.369747,22560
-0.357256,22620
-0.233673,22680
0.139295,22740
0.849634,22800
0.611758,22860
0.025898,22920
0.011253,22980
0.246093,23040
0.834866,23100
0.606415,23160
0.700285,23220
1.592105,23280
0.734638,23340
0.361323,23400
-0.190772,23460
-0.133147,23520
0.051998,23580
0.12371,23640
-0.036285,23700
0.417731,23760
1.292608,23820
1.325231,23880
1.34866,23940
1.212129,24000
1.894427,24060
1.63201,24120
1.406619,24180
1.010813,24240
1.629159,24300
2.326881,24360
1.804594,24420
1.071862,24480
-0.169241,24540
0.796139,24600
0.55003,24660
-0.587515,24720
-0.971024,24780
-1.547075,24840
-0.909642,24900
-1.205371,24960
-1.257138,25020
-0.130866,25080
-1.0501,25140
-0.357778,25200
0.591244,25260
0.210854,25320
-0.045709,25380
-0.445643,25440
1.35906,25500
2.211261,25560
4.554673,25620
5.700888,25680
5.189154,25740
5.025783,25800
4.810414,25860
3.164465,25920
0.851743,25980
-0.72455,26040
-1.082482,26100
0.982568,26160
1.632651,26220
1.908239,26280
1.605232,26340
1.453305,26400
1.060273,26460
1.893935,26520
1.492089,26580
-0.361946,26640
-1.433426,26700
-2.454857,26760
-2.305202,26820
-2.307435,26880
-3.220598,26940
-3.126708,27000
-2.294848,27060
-1.949805,27120
-1.680753,27180
-0.232241,27240
-0.75504,27300
1.109709,27360
0.62049,27420
-1.142393,27480
0.186924,27540
0.037492,27600
-0.089461,27660
0.105719,27720
-1.245025,27780
-3.486872,27840
-3.111285,27900
-2.732072,27960
-2.399517,28020
-1.397332,28080
-0.580938,28140
-0.878901,28200
-1.039944,28260
-0.413427,28320
-0.932033,28380
-1.913849,28440
-1.713384,28500
-0.488228,28560
0.846953,28620
2.221705,28680
1.513111,28740
1.242061,28800
1.077095,28860
1.618047,28920
1.983331,28980
2.129455,29040
0.954347,29100
0.929325,29160
0.910189,29220
1.822994,29280
3.371122,29340
2.845409,29400
3.16307,29460
1.686503,29520
1.701945,29580
0.849008,29640
1.473312,29700
1.248678,29760
0.616265,29820
-1.804195,29880
-3.234558,29940
-2.5452,30000
-0.755009,30060
1.514545,30120
1.403029,30180
-0.270651,30240
-1.415804,30300
-1.586307,30360
-1.383216,30420
-1.887079,30480
-2.420557,30540
-1.565845,30600
-0.390069,30660
-0.743319,30720
-1.871968,30780
-1.642724,30840
-1.901691,30900
