GICXFNeutralAmps,time 
-0.466645,0
-0.674662,60
-0.604493,120
-0.680442,180
-0.528461,240
-0.663925,300
-0.649472,360
-0.594657,420
-0.218754,480
-0.453214,540
-0.500729,600
-0.427377,660
-0.876831,720
-0.667572,780
-0.483791,840
-0.461893,900
-0.412846,960
-0.307197,1020
-0.325959,1080
-0.787562,1140
-0.90706,1200
-0.569721,1260
-0.329094,1320
-0.133078,1380
-0.282823,1440
-0.056832,1500
-0.193557,1560
-0.067973,1620
-0.672365,1680
-0.566202,1740
-0.787151,1800
-1.401078,1860
-1.342164,1920
-1.254176,1980
-0.201628,2040
0.72669,2100
1.773079,2160
1.30707,2220
1.041677,2280
1.111099,2340
0.708887,2400
0.1097,2460
-0.249997,2520
0.077487,2580
-0.836899,2640
-1.456812,2700
-1.164556,2760
-0.816166,2820
-1.290627,2880
-1.706337,2940
-1.75635,3000
-1.405869,3060
-1.470624,3120
-0.931338,3180
-0.302133,3240
-0.146303,3300
0.224125,3360
0.007497,3420
-0.029403,3480
-0.059372,3540
0.174845,3600
0.385619,3660
0.393236,3720
0.599691,3780
0.477822,3840
0.290481,3900
-0.041608,3960
-0.061612,4020
-0.176395,4080
-0.24905,4140
-0.211242,4200
-0.165322,4260
0.008243,4320
0.24961,4380
0.600208,4440
0.784402,4500
0.796443,4560
0.849602,4620
1.023368,4680
1.068744,4740
1.050255,4800
1.057377,4860
1.070058,4920
1.198834,4980
1.010788,5040
0.913442,5100
0.59882,5160
0.202289,5220
-0.113478,5280
-0.1502,5340
0.028885,5400
0.741301,5460
0.771795,5520
-0.013589,5580
-0.473116,5640
-0.407237,5700
-0.26073,5760
-0.467802,5820
-0.583752,5880
-1.046509,5940
-0.981176,6000
-0.586896,6060
-0.579192,6120
-0.358176,6180
-0.296055,6240
-0.386339,6300
-0.613109,6360
-1.165728,6420
-1.871857,6480
-1.59621,6540
-1.262076,6600
-0.907547,6660
-0.738365,6720
-0.540665,6780
-0.339006,6840
-0.300148,6900
-0.782559,6960
-1.196239,7020
-1.852241,7080
-1.726741,7140
-1.492945,7200
-0.711122,7260
1.807283,7320
2.985696,7380
3.790036,7440
1.171669,7500
3.884582,7560
4.314188,7620
0.942875,7680
-0.564062,7740
-1.682397,7800
-4.126121,7860
-4.405487,7920
-2.48525,7980
-1.929289,8040
-3.479319,8100
-2.785381,8160
-4.508056,8220
-4.436773,8280
-1.299972,8340
-2.190821,8400
-4.6516,8460
-4.66673,8520
-2.947434,8580
-3.057819,8640
-2.516227,8700
-1.001171,8760
0.097487,8820
-0.477624,8880
0.515867,8940
-0.11827,9000
0.17658,9060
-1.117208,9120
-1.691236,9180
-0.323834,9240
-0.962134,9300
-1.128309,9360
-2.075607,9420
1.087635,9480
4.102362,9540
4.466951,9600
2.865348,9660
1.795083,9720
0.748795,9780
-0.264307,9840
-2.050951,9900
-1.885037,9960
-0.074922,10020
3.896451,10080
6.768718,10140
7.873196,10200
6.514916,10260
4.047552,10320
1.742691,10380
0.645852,10440
0.756686,10500
0.310677,10560
0.260973,10620
0.972722,10680
1.386519,10740
1.744696,10800
1.799953,10860
1.540204,10920
