GICXFNeutralAmps,time 
1.158709,0
2.118695,60
2.702084,120
2.683547,180
1.471689,240
1.668094,300
2.200487,360
1.219868,420
0.48841,480
0.773576,540
1.226907,600
2.229377,660
2.188029,720
0.87893,780
0.116105,840
-0.25611,900
0.550972,960
0.961941,1020
1.798007,1080
2.313668,1140
1.789037,1200
1.965275,1260
2.071724,1320
4.076118,1380
5.890829,1440
4.604868,1500
4.412204,1560
4.68846,1620
7.692342,1680
9.457909,1740
8.88071,1800
5.921304,1860
0.389748,1920
-3.261966,1980
-3.282571,2040
-6.021065,2100
-8.292356,2160
-8.60484,2220
-7.870713,2280
-6.07735,2340
-2.855757,2400
-1.713867,2460
-0.953464,2520
0.918384,2580
2.346878,2640
4.63203,2700
5.113946,2760
4.822694,2820
2.940544,2880
1.733737,2940
3.479556,3000
2.186324,3060
0.351486,3120
-1.238804,3180
-2.839196,3240
-3.005249,3300
-3.208278,3360
-3.292865,3420
-3.546732,3480
-3.667038,3540
-3.731459,3600
-3.8279,3660
-3.596596,3720
-3.198324,3780
-3.739556,3840
-3.782788,3900
-1.896991,3960
-1.221259,4020
-1.584144,4080
-3.357918,4140
-5.034003,4200
-4.289142,4260
-3.273868,4320
-2.981144,4380
-2.713181,4440
-2.579671,4500
-2.138565,4560
-1.837118,4620
-3.22411,4680
-3.083421,4740
-1.900726,4800
-1.471886,4860
-1.593392,4920
-3.12952,4980
-4.212987,5040
-3.209522,5100
-3.330453,5160
-5.859451,5220
-6.434316,5280
-4.247121,5340
0.611627,5400
-1.350278,5460
-3.880156,5520
-3.08461,5580
-2.647066,5640
-2.896416,5700
-3.444145,5760
-2.261653,5820
-1.473518,5880
-0.694056,5940
-0.981524,6000
-1.367948,6060
-2.329544,6120
-4.098615,6180
-3.346723,6240
-2.866471,6300
-2.355558,6360
-0.498896,6420
3.064075,6480
2.871861,6540
1.060289,6600
-1.445941,6660
-2.235665,6720
-1.676168,6780
0.523312,6840
1.252465,6900
1.274004,6960
0.559139,7020
1.018533,7080
0.634677,7140
0.526529,7200
-0.730171,7260
-4.973729,7320
-6.448038,7380
-10.693116,7440
-10.561213,7500
-1.869268,7560
5.935512,7620
1.771658,7680
-0.47393,7740
-6.030688,7800
-10.826388,7860
-6.469125,7920
-7.106572,7980
-5.572368,8040
-6.984659,8100
-2.509412,8160
1.404047,8220
-0.067484,8280
-4.435575,8340
1.476587,8400
-1.905361,8460
-2.105525,8520
3.690704,8580
-1.734356,8640
-1.900976,8700
-0.764564,8760
0.632504,8820
1.631581,8880
-0.169374,8940
5.487005,9000
3.80148,9060
6.630744,9120
4.724119,9180
-0.509738,9240
-4.934819,9300
0.226118,9360
4.69846,9420
0.705017,9480
-6.223579,9540
-8.245391,9600
-5.901855,9660
-0.628929,9720
-0.529132,9780
-3.038133,9840
-4.53229,9900
-4.9786,9960
-3.635149,10020
-2.955613,10080
-6.290174,10140
-8.034931,10200
-3.826477,10260
0.79966,10320
3.118623,10380
1.967292,10440
-2.1965,10500
-2.913341,10560
