GICXFNeutralAmps,time
-0.321934,0
-0.085304,60
0.054115,120
-0.189992,180
-0.272309,240
-0.507281,300
-0.129922,360
-0.166214,420
-0.685049,480
0.101175,540
-0.390835,600
-1.16994,660
-0.470327,720
-0.025126,780
0.113714,840
-0.746526,900
-0.38359,960
-0.187415,1020
-0.792893,1080
-0.812438,1140
-0.439326,1200
0.139447,1260
0.324869,1320
-0.141838,1380
-0.50336,1440
-0.372765,1500
-0.297606,1560
-0.187689,1620
-0.546607,1680
-0.275592,1740
-0.418666,1800
-0.345043,1860
0.014666,1920
0.155228,1980
-0.154878,2040
-0.892307,2100
-0.58315,2160
0.256319,2220
0.067497,2280
-0.192798,2340
-0.050051,2400
0.184741,2460
0.337381,2520
0.120034,2580
-0.235634,2640
-0.101059,2700
0.076998,2760
0.05292,2820
0.110339,2880
0.058323,2940
-0.184089,3000
-0.538279,3060
-0.698243,3120
-0.50592,3180
0.311744,3240
0.539169,3300
0.369827,3360
-0.023908,3420
-0.311828,3480
-0.472532,3540
-0.039258,3600
-0.066567,3660
-0.510865,3720
-0.700794,3780
-0.872707,3840
-0.317266,3900
-0.525658,3960
-0.579384,4020
-0.834282,4080
-0.731617,4140
-0.538078,4200
-0.588089,4260
-0.760083,4320
-0.477597,4380
-0.280273,4440
-0.46722,4500
-0.611249,4560
-0.679537,4620
-0.604011,4680
-0.361562,4740
-0.290934,4800
-0.182483,4860
-0.22316,4920
-0.396908,4980
-0.242003,5040
0.042573,5100
0.528326,5160
-0.259259,5220
-1.065151,5280
-1.479782,5340
-1.805554,5400
-1.250256,5460
0.291968,5520
0.45911,5580
0.042834,5640
0.155424,5700
0.430718,5760
-0.09537,5820
0.076625,5880
1.010029,5940
0.644945,6000
0.660919,6060
0.839192,6120
0.955228,6180
0.941413,6240
0.916578,6300
0.605659,6360
0.228839,6420
0.971055,6480
0.847367,6540
0.266433,6600
0.400174,6660
0.078721,6720
-0.229547,6780
-0.541694,6840
-0.987372,6900
-2.149719,6960
-2.443701,7020
-1.492222,7080
-1.662225,7140
-1.178155,7200
0.415274,7260
0.147348,7320
-0.125693,7380
-0.095085,7440
0.49361,7500
-0.072972,7560
-0.241019,7620
0.079123,7680
-0.200318,7740
-0.370358,7800
-0.748757,7860
-2.233802,7920
-2.462575,7980
-3.173538,8040
-2.142941,8100
-1.302022,8160
-1.419901,8220
-1.661353,8280
-1.307436,8340
-2.299708,8400
-2.950415,8460
-1.582656,8520
-0.190986,8580
-0.51385,8640
-0.862039,8700
-0.840514,8760
-0.440516,8820
-0.7042,8880
-0.238529,8940
0.113831,9000
-0.099983,9060
-0.158605,9120
-0.774563,9180
-1.09942,9240
-0.213557,9300
0.35439,9360
-0.794556,9420
-0.871025,9480
-0.388145,9540
-0.231957,9600
-0.653295,9660
-0.964945,9720
-0.967651,9780
-0.281924,9840
0.624556,9900
0.382917,9960
0.148765,10020
0.262888,10080
0.244827,10140
-0.38636,10200
-1.883413,10260
-0.78411,10320
0.643064,10380
-0.263987,10440
-0.377589,10500
-0.000823,10560
2.606374,10620
3.745863,10680
3.895407,10740
3.252212,10800
1.655665,10860
0.782939,10920
0.830289,10980
-0.48821,11040
-0.682949,11100
-0.569791,11160
-0.404812,11220
-0.32845,11280
-0.281873,11340
-0.559542,11400
-0.139702,11460
0.148434,11520
0.468585,11580
0.307564,11640
-0.026634,11700
-0.083467,11760
-0.054775,11820
-0.123429,11880
-0.13986,11940
-0.177503,12000
-0.294227,12060
-0.027006,12120
-0.265928,12180
-0.428995,12240
-0.39081,12300
-0.34876,12360
-0.312074,12420
-0.272193,12480
-0.178013,12540
-0.369947,12600
-0.033247,12660
-0.021716,12720
0.051162,12780
0.286803,12840
0.215235,12900
0.101147,12960
-0.154567,13020
0.108575,13080
-0.543738,13140
-1.059616,13200
-1.823641,13260
-1.355411,13320
-0.599549,13380
-0.516805,13440
-0.196942,13500
0.227147,13560
0.160443,13620
0.310198,13680
0.167998,13740
-0.053745,13800
-0.281505,13860
-0.304133,13920
-0.553719,13980
-0.331909,14040
-1.280402,14100
-1.185947,14160
-1.410487,14220
-1.577756,14280
-2.469348,14340
-2.732068,14400
-2.849068,14460
-2.615852,14520
-2.004482,14580
-1.987285,14640
-1.164102,14700
0.021381,14760
0.207571,14820
0.197301,14880
0.477742,14940
0.513526,15000
0.927662,15060
1.184871,15120
0.893804,15180
1.091566,15240
0.37134,15300
0.787842,15360
1.050269,15420
0.686553,15480
1.395371,15540
1.260661,15600
1.01617,15660
1.570183,15720
1.32547,15780
1.18239,15840
0.923769,15900
0.568563,15960
1.16623,16020
2.040087,16080
0.99257,16140
0.379546,16200
0.094872,16260
-2.265083,16320
-4.867987,16380
-6.054236,16440
-6.145381,16500
-5.652964,16560
-5.341849,16620
-4.401902,16680
-3.570447,16740
-2.540533,16800
-1.8276,16860
-1.370767,16920
-0.886689,16980
-0.032447,17040
-0.008225,17100
0.560044,17160
0.135154,17220
0.205979,17280
0.475717,17340
0.564087,17400
0.685629,17460
0.967257,17520
1.543473,17580
1.977745,17640
1.750132,17700
1.683626,17760
1.816947,17820
2.014752,17880
2.110116,17940
2.334572,18000
2.236726,18060
1.848153,18120
1.169976,18180
1.015284,18240
1.029396,18300
0.430106,18360
0.271751,18420
0.264943,18480
0.755337,18540
0.989399,18600
0.576306,18660
0.316267,18720
0.640704,18780
1.031321,18840
1.0386,18900
0.663399,18960
0.095647,19020
-0.209451,19080
-0.1106,19140
0.338147,19200
0.579145,19260
0.547281,19320
0.465213,19380
0.118561,19440
0.150839,19500
0.016344,19560
0.04014,19620
0.048597,19680
0.240216,19740
0.284381,19800
0.45429,19860
0.367116,19920
0.282258,19980
0.35671,20040
0.320603,20100
0.554112,20160
0.74527,20220
0.508028,20280
0.394278,20340
0.539313,20400
0.56198,20460
0.43516,20520
0.394095,20580
0.340168,20640
0.136991,20700
-0.245253,20760
-0.529269,20820
-0.466631,20880
-0.406822,20940
-0.417975,21000
-0.277307,21060
-0.078012,21120
-0.049704,21180
-0.036534,21240
-0.04889,21300
-0.29026,21360
-0.310896,21420
-0.17552,21480
-0.100775,21540
-0.139745,21600
-0.132464,21660
-0.058779,21720
-0.203889,21780
-0.34853,21840
-0.496124,21900
-0.517679,21960
-0.500738,22020
-0.538042,22080
-0.406882,22140
-0.287591,22200
-0.276802,22260
-0.320001,22320
-0.222023,22380
-0.136463,22440
0.0005,22500
0.001062,22560
-0.001882,22620
-0.093731,22680
-0.135595,22740
-0.177636,22800
-0.264625,22860
-0.371745,22920
-0.349586,22980
-0.285803,23040
-0.271355,23100
-0.126316,23160
-0.067266,23220
-0.130028,23280
-0.34396,23340
-0.355144,23400
-0.221753,23460
-0.126135,23520
-0.007126,23580
-0.033061,23640
-0.089847,23700
-0.176845,23760
-0.190228,23820
-0.176841,23880
-0.145865,23940
-0.006361,24000
0.052411,24060
-0.004803,24120
0.136116,24180
0.254612,24240
0.423358,24300
0.543414,24360
0.383621,24420
0.201087,24480
0.160055,24540
0.227554,24600
0.261688,24660
0.246155,24720
0.226852,24780
0.253129,24840
0.294034,24900
0.240872,24960
0.125896,25020
0.129124,25080
0.111924,25140
0.179709,25200
0.221325,25260
0.27658,25320
0.264832,25380
0.158356,25440
0.146403,25500
0.094083,25560
0.099649,25620
0.183539,25680
0.138967,25740
0.139882,25800
0.122216,25860
0.044545,25920
-0.04752,25980
-0.03742,26040
0.05577,26100
0.079903,26160
0.118106,26220
-0.037414,26280
-0.055225,26340
-0.050272,26400
-0.084016,26460
-0.250339,26520
-0.254123,26580
-0.138548,26640
-0.157426,26700
-0.197086,26760
-0.17535,26820
-0.079194,26880
-0.011324,26940
-0.044537,27000
-0.073003,27060
-0.067147,27120
-0.072156,27180
-0.070737,27240
-0.150046,27300
-0.088168,27360
0.084637,27420
0.268497,27480
0.240628,27540
0.222477,27600
0.103233,27660
0.095506,27720
0.147533,27780
0.131709,27840
0.122591,27900
0.103308,27960
0.134141,28020
0.042896,28080
-0.064908,28140
-0.058902,28200
-0.108671,28260
-0.115399,28320
-0.105315,28380
-0.022607,28440
0.049029,28500
0.025075,28560
-0.057713,28620
-0.155587,28680
-0.154587,28740
-0.121423,28800
-0.039597,28860
-0.018646,28920
0.003501,28980
0.016421,29040
-0.000705,29100
0.01475,29160
0.030403,29220
0.055183,29280
0.070412,29340
0.162012,29400
0.14297,29460
0.041514,29520
-0.057734,29580
-0.1131,29640
-0.073176,29700
-0.028504,29760
0.093539,29820
0.138405,29880
0.139617,29940
0.097715,30000
0.063138,30060
0.035689,30120
0.048799,30180
0.066394,30240
-0.000398,30300
-0.061605,30360
-0.07449,30420
-0.073797,30480
-0.038204,30540
0.085487,30600
0.118269,30660
0.033974,30720
0.009204,30780
0.046125,30840
-0.048624,30900
-0.154839,30960
-0.149518,31020
-0.114215,31080
-0.011807,31140
0.012044,31200
-0.043396,31260
-0.046617,31320
-0.058168,31380
-0.079769,31440
-0.028075,31500
0.098472,31560
0.039629,31620
-0.144534,31680
-0.240533,31740
-0.191467,31800
-0.086814,31860
0.004327,31920
0.058461,31980
0.03618,32040
-0.044168,32100
-0.185224,32160
-0.211462,32220
-0.232913,32280
-0.113234,32340
0.041284,32400
0.09693,32460
0.179556,32520
0.215377,32580
0.19853,32640
0.025858,32700
-0.039775,32760
-0.029965,32820
-0.043748,32880
-0.140156,32940
-0.169165,33000
-0.14628,33060
-0.011141,33120
-0.032645,33180
-0.177115,33240
-0.515467,33300
-1.254094,33360
-1.100238,33420
-0.873958,33480
-0.717158,33540
-0.92718,33600
-0.906405,33660
-0.434302,33720
0.024535,33780
0.103692,33840
0.136498,33900
0.159669,33960
0.169661,34020
0.332922,34080
0.267037,34140
0.21598,34200
0.170035,34260
0.258939,34320
0.212227,34380
0.057349,34440
0.092579,34500
0.198691,34560
0.246523,34620
0.199535,34680
0.068186,34740
0.104615,34800
0.080819,34860
0.038228,34920
-0.02767,34980
0.03962,35040
0.127873,35100
0.043122,35160
-0.086302,35220
-0.0852,35280
-0.025101,35340
0.152225,35400
0.193179,35460
0.234876,35520
0.094598,35580
-0.030975,35640
-0.221213,35700
-0.332283,35760
-0.318118,35820
-0.454879,35880
-0.394922,35940
-0.270492,36000
-0.212272,36060
-0.124443,36120
-0.051335,36180
0.052317,36240
0.028068,36300
-0.040799,36360
-0.081238,36420
-0.146212,36480
-0.108613,36540
-0.094301,36600
-0.100032,36660
-0.071211,36720
-0.083363,36780
-0.199036,36840
-0.21101,36900
-0.193214,36960
-0.181612,37020
0.039706,37080
-0.025002,37140
-0.098312,37200
-0.115709,37260
0.078266,37320
0.033013,37380
-0.015919,37440
0.044108,37500
0.031816,37560
0.085418,37620
0.151932,37680
0.161404,37740
-0.257505,37800
-0.35843,37860
-0.104472,37920
0.127884,37980
0.096787,38040
-0.083387,38100
-0.088805,38160
0.08329,38220
0.14766,38280
0.242239,38340
0.19159,38400
0.150939,38460
0.109102,38520
0.243353,38580
0.341007,38640
0.508577,38700
0.510292,38760
0.614449,38820
0.673409,38880
0.623757,38940
0.521492,39000
0.485682,39060
0.474386,39120
0.486499,39180
0.535319,39240
0.572382,39300
0.702095,39360
0.575743,39420
0.477449,39480
0.222335,39540
-0.056365,39600
-0.218006,39660
-0.234999,39720
-0.157903,39780
-0.131998,39840
-0.098664,39900
0.004252,39960
0.119448,40020
0.170777,40080
0.206351,40140
0.281377,40200
0.322815,40260
0.343213,40320
0.34411,40380
0.35776,40440
0.339614,40500
0.431809,40560
0.418071,40620
0.373315,40680
0.371901,40740
0.489952,40800
0.514894,40860
0.289876,40920
0.479885,40980
0.412137,41040
0.155129,41100
0.12602,41160
0.147377,41220
0.183629,41280
0.202354,41340
0.028977,41400
-0.161117,41460
-0.288983,41520
-0.43817,41580
-0.473083,41640
-0.361388,41700
-0.098688,41760
0.174614,41820
0.076388,41880
-0.048547,41940
-0.120234,42000
-0.139423,42060
-0.100709,42120
0.048409,42180
0.13455,42240
0.166213,42300
0.111238,42360
0.201351,42420
0.249878,42480
0.315521,42540
0.309098,42600
0.260511,42660
0.243612,42720
0.152349,42780
0.120177,42840
0.094725,42900
-0.044199,42960
-0.055142,43020
-0.139721,43080
-0.050606,43140
0.085069,43200
0.119077,43260
0.068301,43320
0.007636,43380
-0.175744,43440
-0.190423,43500
-0.210168,43560
-0.06472,43620
-0.004541,43680
0.099633,43740
0.205077,43800
0.249834,43860
0.293132,43920
0.329441,43980
0.315309,44040
0.334441,44100
0.331277,44160
0.343116,44220
0.271918,44280
0.199523,44340
0.27419,44400
0.179818,44460
0.22212,44520
0.145618,44580
0.093411,44640
0.036893,44700
-0.144081,44760
-0.121696,44820
-0.14885,44880
-0.04685,44940
0.108279,45000
0.331202,45060
0.212769,45120
0.256272,45180
0.292574,45240
0.376447,45300
0.438802,45360
0.395253,45420
0.474041,45480
0.499003,45540
0.350842,45600
0.450889,45660
0.4219,45720
0.273296,45780
0.33744,45840
0.243101,45900
0.360992,45960
0.186037,46020
0.158291,46080
0.167745,46140
0.226189,46200
0.200988,46260
0.167279,46320
0.206292,46380
0.158309,46440
0.109574,46500
0.117116,46560
0.176328,46620
0.102493,46680
0.049644,46740
0.098387,46800
0.030975,46860
0.010144,46920
-0.165555,46980
-0.011867,47040
0.169428,47100
0.340307,47160
0.583322,47220
0.769953,47280
0.81472,47340
0.902977,47400
1.001429,47460
0.740864,47520
0.53657,47580
0.629597,47640
0.587663,47700
0.453946,47760
0.510541,47820
0.543708,47880
0.548569,47940
0.602945,48000
0.441243,48060
0.60608,48120
0.603334,48180
0.524172,48240
0.326392,48300
0.178174,48360
0.158857,48420
0.151293,48480
0.276373,48540
0.456233,48600
0.683574,48660
0.856655,48720
0.731051,48780
0.584555,48840
0.319544,48900
0.248915,48960
0.26113,49020
0.231015,49080
0.027995,49140
0.25742,49200
0.084078,49260
0.164569,49320
0.203353,49380
0.133077,49440
0.1811,49500
-0.024487,49560
0.024562,49620
0.311847,49680
0.116952,49740
0.157717,49800
0.27995,49860
0.161488,49920
0.203084,49980
0.21075,50040
0.170678,50100
0.300929,50160
0.320802,50220
0.315505,50280
0.221398,50340
0.168389,50400
0.405925,50460
0.375675,50520
0.292927,50580
0.275417,50640
0.155053,50700
0.295952,50760
0.225428,50820
0.203979,50880
0.305124,50940
0.146865,51000
0.277602,51060
0.322987,51120
0.067242,51180
0.198473,51240
0.307516,51300
0.241128,51360
0.225669,51420
0.136288,51480
0.379339,51540
0.161884,51600
0.169812,51660
0.220751,51720
0.345513,51780
0.357416,51840
0.319261,51900
0.443533,51960
0.401602,52020
0.256708,52080
0.303039,52140
0.460201,52200
0.335272,52260
0.436693,52320
0.351516,52380
0.352436,52440
0.345044,52500
0.292727,52560
0.278226,52620
0.281816,52680
0.279078,52740
0.24729,52800
0.357712,52860
0.27981,52920
0.130315,52980
0.412887,53040
0.47818,53100
0.500021,53160
0.052488,53220
0.278595,53280
0.233805,53340
0.016065,53400
0.000519,53460
0.180989,53520
0.352116,53580
0.237174,53640
0.234169,53700
0.324813,53760
0.302816,53820
0.231192,53880
0.322312,53940
0.304297,54000
0.247222,54060
0.420979,54120
0.427692,54180
0.278944,54240
0.228512,54300
0.432711,54360
0.462467,54420
0.364741,54480
0.168342,54540
0.186056,54600
0.230006,54660
0.207797,54720
0.300451,54780
0.208011,54840
0.094884,54900
0.035527,54960
0.15928,55020
0.140319,55080
0.213291,55140
0.22511,55200
0.277414,55260
0.138634,55320
0.433679,55380
0.469612,55440
0.457007,55500
0.34192,55560
0.143856,55620
0.050447,55680
-0.26119,55740
0.296055,55800
0.031553,55860
0.004072,55920
0.392757,55980
0.293371,56040
0.217878,56100
0.40205,56160
0.490451,56220
0.523347,56280
0.441682,56340
0.319193,56400
0.243682,56460
0.109962,56520
0.088879,56580
-0.031045,56640
-0.254559,56700
-0.337984,56760
-0.296724,56820
-0.33031,56880
-0.228344,56940
-0.161903,57000
-0.19932,57060
-0.122896,57120
-0.172813,57180
-0.216414,57240
-0.296403,57300
-0.245774,57360
-0.056164,57420
-0.101574,57480
-0.202763,57540
-0.097129,57600
-0.039197,57660
-0.154707,57720
-0.240368,57780
-0.082692,57840
0.036738,57900
-0.064618,57960
-0.354559,58020
-0.009708,58080
0.216523,58140
0.474694,58200
0.321386,58260
0.022807,58320
-0.054618,58380
-0.277574,58440
-0.148484,58500
-0.050985,58560
-0.406753,58620
-0.285599,58680
0.065405,58740
0.343097,58800
0.354931,58860
0.183024,58920
-0.009527,58980
0.120815,59040
0.202648,59100
0.024824,59160
-0.073198,59220
-0.108743,59280
-0.119777,59340
-0.094564,59400
-0.013104,59460
-0.038312,59520
-0.076155,59580
-0.156734,59640
-0.241079,59700
-0.193022,59760
-0.234404,59820
-0.194573,59880
-0.194677,59940
-0.279672,60000
-0.449073,60060
-0.418097,60120
-0.214519,60180
-0.139649,60240
-0.158124,60300
-0.114103,60360
-0.163837,60420
-0.249314,60480
-0.289449,60540
-0.255502,60600
-0.215511,60660
-0.288971,60720
-0.255188,60780
-0.255886,60840
-0.137862,60900
-0.133968,60960
-0.172115,61020
-0.158979,61080
-0.148502,61140
-0.118094,61200
-0.092056,61260
-0.116947,61320
-0.128749,61380
-0.132469,61440
-0.182502,61500
-0.137697,61560
-0.219307,61620
-0.328655,61680
-0.302296,61740
-0.319182,61800
-0.319565,61860
-0.314448,61920
-0.348696,61980
-0.289823,62040
-0.200491,62100
-0.397878,62160
-0.552475,62220
-0.482337,62280
-0.340096,62340
-0.116532,62400
-0.191768,62460
-0.488852,62520
-0.54475,62580
-0.5776,62640
-0.525537,62700
-0.380556,62760
-0.271316,62820
-0.128937,62880
-0.058015,62940
-0.257829,63000
-0.532321,63060
-0.221843,63120
-0.140908,63180
-0.070201,63240
-0.174688,63300
-0.036718,63360
-0.152772,63420
-0.335986,63480
-0.027671,63540
-0.11725,63600
-0.177017,63660
-0.178752,63720
-0.243857,63780
-0.221934,63840
-0.207418,63900
-0.17987,63960
-0.246344,64020
-0.248458,64080
-0.203334,64140
-0.113368,64200
-0.108149,64260
-0.160897,64320
-0.147849,64380
-0.215366,64440
-0.25728,64500
-0.215221,64560
-0.152408,64620
-0.173079,64680
-0.265196,64740
-0.254382,64800
-0.298114,64860
-0.255004,64920
-0.187692,64980
-0.205838,65040
-0.239168,65100
-0.327415,65160
-0.317897,65220
-0.269931,65280
-0.282569,65340
-0.318216,65400
-0.214263,65460
-0.230767,65520
-0.325992,65580
-0.379976,65640
-0.38335,65700
-0.508936,65760
-0.677129,65820
-0.671727,65880
-0.577954,65940
-0.45383,66000
-0.408556,66060
-0.431961,66120
-0.391276,66180
-0.37313,66240
-0.300171,66300
-0.294218,66360
-0.363352,66420
-0.133986,66480
-0.19317,66540
-0.367879,66600
-0.439569,66660
-0.360741,66720
-0.373999,66780
-0.385232,66840
-0.473457,66900
-0.587031,66960
-0.706718,67020
-0.641109,67080
-0.467199,67140
-0.29146,67200
-0.221324,67260
-0.253466,67320
-0.443805,67380
-0.169399,67440
-0.179481,67500
-0.2799,67560
-0.203382,67620
-0.359417,67680
-0.362235,67740
-0.237233,67800
-0.290458,67860
-0.517835,67920
-0.374176,67980
-0.299031,68040
-0.248757,68100
-0.259213,68160
-0.218355,68220
-0.179042,68280
-0.345991,68340
-0.357861,68400
-0.334956,68460
-0.244203,68520
-0.281884,68580
-0.22973,68640
-0.249789,68700
-0.253552,68760
-0.175259,68820
-0.046394,68880
-0.116789,68940
-0.2661,69000
-0.231466,69060
-0.204247,69120
-0.333785,69180
-0.380209,69240
-0.364609,69300
-0.318662,69360
-0.221905,69420
-0.250972,69480
-0.27753,69540
-0.307444,69600
-0.266448,69660
