Node Name,Type,Latitude,Longitude
Sullivan,GIC,36.4419,-82.2791
Paradise,GIC,37.2587,-86.9781
Bradley,GIC,35.0425,-84.9587
East Point,GIC,34.1946,-86.7474
Montgomery,GIC,36.5949,-87.2533
Southaven,GIC,34.9939,-90.0497
Raccoon Mountain,GIC,35.0571,-85.3872
Shelby,GIC,35.3859,-89.8042
Weakley,GIC,36.2752,-88.8347
Widows Creek 1,GIC,34.8859,-85.7554
Bull Run,GIC,36.0193,-84.1575
Rutherford,GIC,35.8275,-86.5986
Widows Creek 2,GIC,34.8859,-85.7554
Madison,GIC,34.7964,-86.5207
Union,GIC,34.378,-88.8578
Pinhook,GIC,36.0465,-86.6059
Johnsonville,GIC,36.029,-87.985
Gleason,GIC,36.246,-88.612
