datetime,x,y,z
2024-05-09 00:00:00,21496.95,-1361.41,45896.78
2024-05-09 00:00:01,21497.02,-1361.37,45896.72
2024-05-09 00:00:02,21497.03,-1361.34,45896.74
2024-05-09 00:00:03,21497.01,-1361.36,45896.79
2024-05-09 00:00:04,21496.99,-1361.33,45896.79
2024-05-09 00:00:05,21496.99,-1361.34,45896.77
2024-05-09 00:00:06,21497.04,-1361.31,45896.73
2024-05-09 00:00:07,21497.04,-1361.30,45896.73
2024-05-09 00:00:08,21497.08,-1361.29,45896.68
2024-05-09 00:00:09,21497.11,-1361.29,45896.64
2024-05-09 00:00:10,21496.87,-1361.24,45896.75
2024-05-09 00:00:11,21496.96,-1361.35,45896.75
2024-05-09 00:00:12,21497.01,-1361.38,45896.72
2024-05-09 00:00:13,21497.02,-1361.35,45896.72
2024-05-09 00:00:14,21497.00,-1361.37,45896.71
2024-05-09 00:00:15,21496.99,-1361.36,45896.68
2024-05-09 00:00:16,21497.15,-1361.37,45896.82
2024-05-09 00:00:17,21497.15,-1361.29,45896.70
2024-05-09 00:00:18,21497.06,-1361.33,45896.69
2024-05-09 00:00:19,21497.04,-1361.37,45896.67
2024-05-09 00:00:20,21497.03,-1361.36,45896.66
2024-05-09 00:00:21,21497.07,-1361.36,45896.67
2024-05-09 00:00:22,21497.03,-1361.37,45896.77
2024-05-09 00:00:23,21497.11,-1361.35,45896.67
2024-05-09 00:00:24,21497.05,-1361.37,45896.68
2024-05-09 00:00:25,21497.12,-1361.35,45896.58
2024-05-09 00:00:26,21496.98,-1361.41,45896.72
2024-05-09 00:00:27,21496.98,-1361.44,45896.74
2024-05-09 00:00:28,21497.07,-1361.40,45896.71
2024-05-09 00:00:29,21497.04,-1361.40,45896.65
2024-05-09 00:00:30,21496.99,-1361.44,45896.75
2024-05-09 00:00:31,21497.02,-1361.39,45896.65
2024-05-09 00:00:32,21497.04,-1361.37,45896.66
2024-05-09 00:00:33,21497.04,-1361.41,45896.65
2024-05-09 00:00:34,21497.04,-1361.39,45896.69
2024-05-09 00:00:35,21497.10,-1361.33,45896.61
2024-05-09 00:00:36,21497.10,-1361.34,45896.65
2024-05-09 00:00:37,21497.10,-1361.37,45896.64
2024-05-09 00:00:38,21497.09,-1361.40,45896.68
2024-05-09 00:00:39,21497.08,-1361.40,45896.72
2024-05-09 00:00:40,21497.20,-1361.37,45896.66
2024-05-09 00:00:41,21497.13,-1361.37,45896.65
2024-05-09 00:00:42,21497.13,-1361.41,45896.68
2024-05-09 00:00:43,21497.13,-1361.38,45896.65
2024-05-09 00:00:44,21497.17,-1361.35,45896.62
2024-05-09 00:00:45,21497.17,-1361.32,45896.65
2024-05-09 00:00:46,21497.20,-1361.31,45896.68
2024-05-09 00:00:47,21497.15,-1361.34,45896.68
2024-05-09 00:00:48,21497.19,-1361.34,45896.65
2024-05-09 00:00:49,21497.15,-1361.34,45896.65
2024-05-09 00:00:50,21497.12,-1361.33,45896.64
2024-05-09 00:00:51,21497.15,-1361.33,45896.68
2024-05-09 00:00:52,21497.10,-1361.33,45896.68
2024-05-09 00:00:53,21497.15,-1361.32,45896.68
2024-05-09 00:00:54,21497.12,-1361.31,45896.71
2024-05-09 00:00:55,21497.17,-1361.29,45896.67
