datetime,x,y,z
2024-05-09 00:00:00,22219.65,-1913.30,44259.80
2024-05-09 00:00:01,22219.69,-1913.34,44259.80
2024-05-09 00:00:02,22219.67,-1913.31,44259.79
2024-05-09 00:00:03,22219.69,-1913.30,44259.82
2024-05-09 00:00:04,22219.68,-1913.29,44259.83
2024-05-09 00:00:05,22219.69,-1913.28,44259.82
2024-05-09 00:00:06,22219.68,-1913.27,44259.77
2024-05-09 00:00:07,22219.67,-1913.29,44259.75
2024-05-09 00:00:08,22219.66,-1913.32,44259.78
2024-05-09 00:00:09,22219.65,-1913.33,44259.78
2024-05-09 00:00:10,22219.66,-1913.33,44259.75
2024-05-09 00:00:11,22219.63,-1913.33,44259.74
2024-05-09 00:00:12,22219.60,-1913.31,44259.70
2024-05-09 00:00:13,22219.63,-1913.29,44259.73
2024-05-09 00:00:14,22219.61,-1913.27,44259.72
2024-05-09 00:00:15,22219.59,-1913.29,44259.71
2024-05-09 00:00:16,22219.60,-1913.30,44259.74
2024-05-09 00:00:17,22219.62,-1913.33,44259.79
2024-05-09 00:00:18,22219.61,-1913.31,44259.76
2024-05-09 00:00:19,22219.62,-1913.31,44259.77
2024-05-09 00:00:20,22219.59,-1913.35,44259.79
2024-05-09 00:00:21,22219.62,-1913.36,44259.78
2024-05-09 00:00:22,22219.64,-1913.39,44259.78
2024-05-09 00:00:23,22219.65,-1913.39,44259.77
2024-05-09 00:00:24,22219.65,-1913.40,44259.78
2024-05-09 00:00:25,22219.64,-1913.39,44259.75
2024-05-09 00:00:26,22219.66,-1913.40,44259.76
2024-05-09 00:00:27,22219.69,-1913.38,44259.76
2024-05-09 00:00:28,22219.67,-1913.38,44259.77
2024-05-09 00:00:29,22219.70,-1913.37,44259.74
2024-05-09 00:00:30,22219.72,-1913.32,44259.74
2024-05-09 00:00:31,22219.70,-1913.32,44259.73
2024-05-09 00:00:32,22219.70,-1913.34,44259.75
2024-05-09 00:00:33,22219.72,-1913.35,44259.77
2024-05-09 00:00:34,22219.71,-1913.33,44259.75
2024-05-09 00:00:35,22219.73,-1913.38,44259.76
2024-05-09 00:00:36,22219.71,-1913.37,44259.75
2024-05-09 00:00:37,22219.74,-1913.35,44259.76
2024-05-09 00:00:38,22219.75,-1913.35,44259.78
2024-05-09 00:00:39,22219.74,-1913.34,44259.78
2024-05-09 00:00:40,22219.78,-1913.35,44259.81
2024-05-09 00:00:41,22219.76,-1913.33,44259.75
2024-05-09 00:00:42,22219.77,-1913.36,44259.77
2024-05-09 00:00:43,22219.77,-1913.34,44259.76
2024-05-09 00:00:44,22219.75,-1913.36,44259.78
2024-05-09 00:00:45,22219.74,-1913.36,44259.77
2024-05-09 00:00:46,22219.74,-1913.35,44259.75
2024-05-09 00:00:47,22219.72,-1913.33,44259.74
2024-05-09 00:00:48,22219.71,-1913.37,44259.75
2024-05-09 00:00:49,22219.73,-1913.33,44259.73
2024-05-09 00:00:50,22219.72,-1913.33,44259.75
2024-05-09 00:00:51,22219.73,-1913.28,44259.72
2024-05-09 00:00:52,22219.72,-1913.25,44259.69
2024-05-09 00:00:53,22219.73,-1913.29,44259.74
2024-05-09 00:00:54,22219.72,-1913.26,44259.73
2024-05-09 00:00:55,22219.68,-1913.31,44259.76
2024-05-09 00:00:56,22219.68,-1913.28,44259.75
2024-05-09 00:00:57,22219.64,-1913.33,44259.76
2024-05-09 00:00:58,22219.66,-1913.28,44259.73
2024-05-09 00:00:59,22219.66,-1913.35,44259.77
2024-05-09 00:01:00,22219.64,-1913.34,44259.72
2024-05-09 00:01:01,22219.62,-1913.34,44259.71
2024-05-09 00:01:02,22219.64,-1913.38,44259.75
2024-05-09 00:01:03,22219.63,-1913.34,44259.72
2024-05-09 00:01:04,22219.61,-1913.39,44259.72
2024-05-09 00:01:05,22219.63,-1913.40,44259.75
2024-05-09 00:01:06,22219.67,-1913.45,44259.79
2024-05-09 00:01:07,22219.66,-1913.43,44259.77
2024-05-09 00:01:08,22219.68,-1913.44,44259.79
2024-05-09 00:01:09,22219.70,-1913.45,44259.78
2024-05-09 00:01:10,22219.70,-1913.48,44259.78
2024-05-09 00:01:11,22219.73,-1913.45,44259.81
2024-05-09 00:01:12,22219.79,-1913.44,44259.82
2024-05-09 00:01:13,22219.79,-1913.43,44259.79
2024-05-09 00:01:14,22219.79,-1913.50,44259.81
2024-05-09 00:01:15,22219.83,-1913.50,44259.82
2024-05-09 00:01:16,22219.83,-1913.46,44259.80
2024-05-09 00:01:17,22219.83,-1913.45,44259.80
2024-05-09 00:01:18,22219.85,-1913.44,44259.78
