datetime,x,y,z
2024-05-09 00:00:00,22681.32,-1632.51,43601.86
2024-05-09 00:00:01,22681.32,-1632.51,43601.86
2024-05-09 00:00:02,22681.32,-1632.50,43601.89
2024-05-09 00:00:03,22681.31,-1632.49,43601.89
2024-05-09 00:00:04,22681.32,-1632.49,43601.89
2024-05-09 00:00:05,22681.31,-1632.51,43601.91
2024-05-09 00:00:06,22681.32,-1632.49,43601.90
2024-05-09 00:00:07,22681.31,-1632.47,43601.90
2024-05-09 00:00:08,22681.31,-1632.49,43601.85
2024-05-09 00:00:09,22681.27,-1632.50,43601.83
2024-05-09 00:00:10,22681.29,-1632.50,43601.84
2024-05-09 00:00:11,22681.28,-1632.50,43601.86
2024-05-09 00:00:12,22681.27,-1632.51,43601.86
2024-05-09 00:00:13,22681.28,-1632.46,43601.85
2024-05-09 00:00:14,22681.26,-1632.47,43601.88
2024-05-09 00:00:15,22681.26,-1632.48,43601.86
2024-05-09 00:00:16,22681.28,-1632.49,43601.87
2024-05-09 00:00:17,22681.27,-1632.48,43601.86
2024-05-09 00:00:18,22681.26,-1632.48,43601.88
2024-05-09 00:00:19,22681.26,-1632.49,43601.87
2024-05-09 00:00:20,22681.27,-1632.49,43601.85
2024-05-09 00:00:21,22681.29,-1632.50,43601.86
2024-05-09 00:00:22,22681.31,-1632.54,43601.83
2024-05-09 00:00:23,22681.30,-1632.52,43601.86
2024-05-09 00:00:24,22681.31,-1632.53,43601.82
2024-05-09 00:00:25,22681.29,-1632.52,43601.79
2024-05-09 00:00:26,22681.28,-1632.54,43601.78
2024-05-09 00:00:27,22681.29,-1632.52,43601.80
2024-05-09 00:00:28,22681.32,-1632.51,43601.81
2024-05-09 00:00:29,22681.33,-1632.52,43601.81
2024-05-09 00:00:30,22681.33,-1632.53,43601.81
2024-05-09 00:00:31,22681.33,-1632.52,43601.83
2024-05-09 00:00:32,22681.34,-1632.53,43601.85
2024-05-09 00:00:33,22681.36,-1632.51,43601.84
2024-05-09 00:00:34,22681.38,-1632.49,43601.81
2024-05-09 00:00:35,22681.38,-1632.49,43601.81
2024-05-09 00:00:36,22681.37,-1632.51,43601.81
2024-05-09 00:00:37,22681.38,-1632.49,43601.83
2024-05-09 00:00:38,22681.36,-1632.49,43601.83
2024-05-09 00:00:39,22681.36,-1632.49,43601.82
