:Product:20150312_Fujian，Huangmeishan,220kV Substation_GIC.txt
:Export:2015/12/24 153243  LocalTime
# Prepared by the NCEPU 
# 
# Units GIC_DATA = A
# The positive and negative features of current data represent current direction
#
#       Real-Time GIC Data
#       福建省宁德市寿宁县黄眉山 N27.3675E119.5335
# 

# UT Date           Time
# YR  MO   DA       HHMMSS            GIC_DATA
#-------------------------------------------------------------------------------------------
2015  03  17       000004      0.000975542
2015  03  17       000104      0.003969796
2015  03  17       000204      -0.002512981
2015  03  17       000304      -0.037166404
2015  03  17       000404      -0.097715762
2015  03  17       000504      -0.112511151
2015  03  17       000604      -0.097696587
2015  03  17       000704      -0.09604598
2015  03  17       000804      -0.050068124
2015  03  17       000904      -0.001679647
2015  03  17       001004      0.003567455
2015  03  17       001104      -0.002438257
2015  03  17       001204      0.002542209
2015  03  17       001304      -0.018299271
2015  03  17       001404      -0.018203457
2015  03  17       001504      0.00488493
2015  03  17       001604      0.009457921
2015  03  17       001704      -0.044025621
2015  03  17       001804      -0.022433059
2015  03  17       001904      -0.036166876
2015  03  17       002004      -0.030505304
2015  03  17       002104      0.006650234
2015  03  17       002204      -0.051773488
2015  03  17       002304      -0.032567189
2015  03  17       002404      -0.089512402
2015  03  17       002504      -0.066621639
2015  03  17       002604      -0.055593148
2015  03  17       002704      -0.038931504
2015  03  17       002804      -0.060423133
2015  03  17       002904      -0.042856505
2015  03  17       003004      -0.060960358
2015  03  17       003104      -0.035611876
2015  03  17       003204      -0.027025357
2015  03  17       003304      -0.010942711
2015  03  17       003404      0.004235107
2015  03  17       003504      0.007390391
2015  03  17       003604      -0.017371991
2015  03  17       003704      -0.027656245
2015  03  17       003804      -0.050763535
2015  03  17       003904      -0.056185496
2015  03  17       004004      -0.078240589
2015  03  17       004104      -0.072536273
2015  03  17       004204      -0.093485504
2015  03  17       004304      -0.130881215
2015  03  17       004404      -0.17182299
2015  03  17       004504      -0.164908917
2015  03  17       004604      -0.162965797
2015  03  17       004704      -0.153491459
2015  03  17       004804      -0.149457877
2015  03  17       004904      -0.163640808
2015  03  17       005004      -0.152395389
2015  03  17       005104      -0.143940162
2015  03  17       005204      -0.155446957
2015  03  17       005304      -0.152540394
2015  03  17       005404      -0.171659318
2015  03  17       005504      -0.152611086
2015  03  17       005604      -0.14320191
2015  03  17       005704      -0.127057575
2015  03  17       005804      -0.137928454
2015  03  17       005904      -0.143442366
2015  03  17       010004      -0.136172313
2015  03  17       010104      -0.121997715
2015  03  17       010204      -0.12997465
2015  03  17       010304      -0.121133046
2015  03  17       010404      -0.124805528
2015  03  17       010504      -0.125485353
2015  03  17       010604      -0.104059603
2015  03  17       010704      -0.092808389
2015  03  17       010804      -0.082726374
2015  03  17       010904      -0.045977147
2015  03  17       011004      -0.08576676
2015  03  17       011104      -0.048864324
2015  03  17       011204      -0.055702778
2015  03  17       011304      -0.03632678
2015  03  17       011404      -0.045880292
2015  03  17       011504      -0.054596817
2015  03  17       011604      -0.06045662
2015  03  17       011704      -0.034251614
2015  03  17       011804      -0.021270862
2015  03  17       011904      -0.029802
2015  03  17       012004      -0.041696938
2015  03  17       012104      -0.054805696
2015  03  17       012204      -0.071955846
2015  03  17       012304      -0.064489344
2015  03  17       012404      -0.0844916
2015  03  17       012504      -0.055187424
2015  03  17       012604      -0.085072038
2015  03  17       012704      -0.093050099
2015  03  17       012804      -0.109040888
2015  03  17       012904      -0.112185448
2015  03  17       013004      -0.103878502
2015  03  17       013104      -0.093393259
2015  03  17       013204      -0.091360681
2015  03  17       013304      -0.071682016
2015  03  17       013404      -0.076174133
2015  03  17       013504      -0.045477384
2015  03  17       013604      -0.045246652
2015  03  17       013704      -0.066237771
2015  03  17       013804      -0.0629027
2015  03  17       013904      -0.092032395
2015  03  17       014004      -0.119498603
2015  03  17       014104      -0.096049772
2015  03  17       014204      -0.113326383
2015  03  17       014304      -0.096480732
2015  03  17       014404      -0.095334893
2015  03  17       014504      -0.070218063
2015  03  17       014604      -0.057801182
2015  03  17       014704      -0.026901999
2015  03  17       014804      -0.028786835
2015  03  17       014904      -0.104252698
2015  03  17       015004      -0.123096564
2015  03  17       015104      -0.07682018
2015  03  17       015204      -0.084420833
2015  03  17       015304      -0.067466072
2015  03  17       015404      -0.032967442
2015  03  17       015504      -0.0002379
2015  03  17       015604      0.074382763
2015  03  17       015704      0.138067277
2015  03  17       015804      0.184132269
2015  03  17       015904      0.125690057
2015  03  17       020004      0.027207404
2015  03  17       020104      0.002934246
2015  03  17       020204      -0.050737832
2015  03  17       020304      -0.035216933
2015  03  17       020404      -0.047654852
2015  03  17       020504      -0.067066749
2015  03  17       020604      -0.086352164
2015  03  17       020704      -0.080962918
2015  03  17       020804      -0.069662946
2015  03  17       020904      -0.069025833
2015  03  17       021004      -0.067791288
2015  03  17       021104      -0.051568938
2015  03  17       021204      -0.09001091
2015  03  17       021304      -0.101106444
2015  03  17       021404      -0.094289244
2015  03  17       021504      -0.092668609
2015  03  17       021604      -0.072003044
2015  03  17       021704      -0.007091021
2015  03  17       021804      0.017690439
2015  03  17       021904      0.035181118
2015  03  17       022004      0.055103843
2015  03  17       022104      0.057224601
2015  03  17       022204      -0.003636146
2015  03  17       022304      -0.070805644
2015  03  17       022404      -0.106768379
2015  03  17       022504      -0.064900109
2015  03  17       022604      -0.080774729
2015  03  17       022704      -0.007380981
2015  03  17       022804      0.031404761
2015  03  17       022904      0.116228628
2015  03  17       023004      0.143413747
2015  03  17       023104      0.10785828
2015  03  17       023204      0.038665467
2015  03  17       023304      0.054893689
2015  03  17       023404      0.020415073
2015  03  17       023504      0.039293787
2015  03  17       023604      0.054075477
2015  03  17       023704      0.050770277
2015  03  17       023804      0.056892526
2015  03  17       023904      0.01266398
2015  03  17       024004      0.030947729
2015  03  17       024104      0.051529627
2015  03  17       024204      0.067388142
2015  03  17       024304      0.078225957
2015  03  17       024404      0.056146301
2015  03  17       024504      0.060044578
2015  03  17       024604      0.053395775
2015  03  17       024704      0.09393463
2015  03  17       024804      0.119454862
2015  03  17       024904      0.162151837
2015  03  17       025004      0.11040301
2015  03  17       025104      0.071629771
2015  03  17       025204      0.012606544
2015  03  17       025304      0.007249713
2015  03  17       025404      -0.041574639
2015  03  17       025504      -0.014883569
2015  03  17       025604      0.007832656
2015  03  17       025704      0.004506929
2015  03  17       025804      0.009557053
2015  03  17       025904      0.042282676
2015  03  17       030004      0.041648102
2015  03  17       030104      0.033278102
2015  03  17       030204      0.026922489
2015  03  17       030304      0.037502694
2015  03  17       030404      0.048678039
2015  03  17       030504      0.067173137
2015  03  17       030604      0.034310288
2015  03  17       030704      0.047071868
2015  03  17       030804      0.020821073
2015  03  17       030904      -0.012647926
2015  03  17       031005      -0.061623107
2015  03  17       031105      -0.058214904
2015  03  17       031205      -0.044423924
2015  03  17       031305      -0.056598907
2015  03  17       031405      -0.071417416
2015  03  17       031505      -0.051055268
2015  03  17       031605      -0.055900739
2015  03  17       031705      -0.047092946
2015  03  17       031805      -0.056176008
2015  03  17       031905      -0.022309197
2015  03  17       032005      -0.06606599
2015  03  17       032105      0.000650335
2015  03  17       032205      -0.01544852
2015  03  17       032305      -0.011683498
2015  03  17       032405      -0.012476717
2015  03  17       032505      0.004139328
2015  03  17       032605      0.009402378
2015  03  17       032705      0.075083109
2015  03  17       032805      0.08689914
2015  03  17       032905      0.109208156
2015  03  17       033005      0.04173554
2015  03  17       033105      0.033182256
2015  03  17       033205      -0.035868388
2015  03  17       033305      0.01133286
2015  03  17       033405      -0.020794742
2015  03  17       033505      0.02194845
2015  03  17       033605      0.101825141
2015  03  17       033705      0.104163201
2015  03  17       033805      0.046539601
2015  03  17       033905      0.033958388
2015  03  17       034005      -0.007841288
2015  03  17       034105      0.017224733
2015  03  17       034205      0.066420312
2015  03  17       034305      0.023513815
2015  03  17       034405      0.063074595
2015  03  17       034505      0.083743138
2015  03  17       034605      0.116660802
2015  03  17       034705      0.157621583
2015  03  17       034805      0.130297537
2015  03  17       034905      0.174129967
2015  03  17       035005      0.151020257
2015  03  17       035105      0.174766001
2015  03  17       035205      0.156061537
2015  03  17       035305      0.165204406
2015  03  17       035405      0.191849424
2015  03  17       035505      0.137874783
2015  03  17       035605      0.027118237
2015  03  17       035705      0.045820668
2015  03  17       035805      0.066317649
2015  03  17       035905      0.086477595
2015  03  17       040005      0.185277849
2015  03  17       040105      0.243467176
2015  03  17       040205      0.228063759
2015  03  17       040305      0.177057205
2015  03  17       040405      0.108940317
2015  03  17       040505      0.089352659
2015  03  17       040605      0.089472444
2015  03  17       040705      0.182001805
2015  03  17       040805      0.156437362
2015  03  17       040905      0.201038616
2015  03  17       041005      0.126007381
2015  03  17       041105      0.127221325
2015  03  17       041205      0.044513938
2015  03  17       041305      0.127544973
2015  03  17       041405      0.10418556
2015  03  17       041505      0.171576932
2015  03  17       041605      0.218188058
2015  03  17       041705      0.185412713
2015  03  17       041805      0.214828787
2015  03  17       041905      0.255117129
2015  03  17       042005      0.219019258
2015  03  17       042105      0.237813168
2015  03  17       042205      0.104937151
2015  03  17       042305      0.25222552
2015  03  17       042405      0.134255192
2015  03  17       042505      0.207885279
2015  03  17       042605      0.058350122
2015  03  17       042705      0.177686555
2015  03  17       042805      0.202088512
2015  03  17       042905      0.175314451
2015  03  17       043005      0.19664645
2015  03  17       043105      0.253006498
2015  03  17       043205      0.167772324
2015  03  17       043305      0.201517317
2015  03  17       043405      0.271973715
2015  03  17       043505      0.206014033
2015  03  17       043605      0.160256604
2015  03  17       043705      0.331945015
2015  03  17       043805      0.330518365
2015  03  17       043905      0.379754879
2015  03  17       044005      0.257995611
2015  03  17       044105      0.431479034
2015  03  17       044205      0.212724784
2015  03  17       044305      0.387142565
2015  03  17       044405      0.206908991
2015  03  17       044505      0.460360276
2015  03  17       044605      0.206575679
2015  03  17       044705      1.317158083
2015  03  17       044805      3.28335147
2015  03  17       044905      1.727574115
2015  03  17       045005      2.099486197
2015  03  17       045105      1.331163362
2015  03  17       045205      1.559327394
2015  03  17       045305      1.418777284
2015  03  17       045405      1.595984125
2015  03  17       045505      1.201451696
2015  03  17       045605      1.059649871
2015  03  17       045705      0.905069618
2015  03  17       045805      1.020188499
2015  03  17       045905      0.789712287
2015  03  17       050005      0.8136209
2015  03  17       050105      0.649189295
2015  03  17       050205      0.596270084
2015  03  17       050305      0.636195895
2015  03  17       050405      0.696101351
2015  03  17       050505      0.739064322
2015  03  17       050605      0.775576072
2015  03  17       050705      0.802514936
2015  03  17       050805      0.869656674
2015  03  17       050905      0.784765422
2015  03  17       051005      0.787663613
2015  03  17       051105      0.721000029
2015  03  17       051205      0.804912912
2015  03  17       051305      0.826030898
2015  03  17       051405      0.893687857
2015  03  17       051505      0.837566485
2015  03  17       051605      0.65178854
2015  03  17       051705      0.513201104
2015  03  17       051805      0.606688126
2015  03  17       051905      0.622450092
2015  03  17       052005      0.563467034
2015  03  17       052105      0.746351482
2015  03  17       052205      0.418009674
2015  03  17       052305      0.03984984
2015  03  17       052405      0.198628726
2015  03  17       052505      0.061002942
