:Product:20151201_Fujian_Huangmeishan_220kV_GIC.txt
:Export:2016/08/06 231751  LocalTime
# Prepared by the NCEPU 
# 
# Units GIC_DATA = A
# The positive and negative features of current data represent current direction
#
#       Real-Time GIC Data
#       福建省宁德市寿宁县黄眉山 N27.3675E119.5335
# 

# UT Date           Time
# YR  MO   DA       HHMMSS            GIC_DATA
#-------------------------------------------------------------------------------------------
2015  12  14       000000      0.06385
2015  12  14       000100      0.044219
2015  12  14       000200      0.027819
2015  12  14       000300      0.048296
2015  12  14       000400      0.033475
2015  12  14       000500      0.042067
2015  12  14       000600      0.03313
2015  12  14       000700      0.049268
2015  12  14       000800      0.034099
2015  12  14       000900      0.047765
2015  12  14       001000      0.022182
2015  12  14       001100      0.048868
2015  12  14       001200      0.044166
2015  12  14       001300      0.057184
2015  12  14       001400      0.062811
2015  12  14       001500      0.0742
2015  12  14       001600      0.048667
2015  12  14       001700      0.033451
2015  12  14       001800      0.028223
2015  12  14       001900      0.014495
2015  12  14       002000      0.007413
2015  12  14       002100      0.021266
2015  12  14       002200      0.0093079
2015  12  14       002300      0.023304
2015  12  14       002400      -0.0018623
2015  12  14       002500      0.012322
2015  12  14       002600      -0.011924
2015  12  14       002700      0.018939
2015  12  14       002800      0.0050225
2015  12  14       002900      0.013846
2015  12  14       003000      0.024411
2015  12  14       003100      0.037845
2015  12  14       003200      0.015898
2015  12  14       003300      0.026571
2015  12  14       003400      0.0096414
2015  12  14       003500      0.031418
2015  12  14       003600      0.0034909
2015  12  14       003700      0.0082314
2015  12  14       003800      -0.019561
2015  12  14       003900      -0.016916
2015  12  14       004000      -0.02301
2015  12  14       004100      -0.008759
2015  12  14       004200      -0.0042027
2015  12  14       004300      -0.013342
2015  12  14       004400      -0.015061
2015  12  14       004500      -0.020092
2015  12  14       004600      -0.007259
2015  12  14       004700      0.001109
2015  12  14       004800      0.003218
2015  12  14       004900      0.00053643
2015  12  14       005000      -0.016427
2015  12  14       005100      -0.0079061
2015  12  14       005200      -0.013715
2015  12  14       005300      -0.0058773
2015  12  14       005400      -0.013169
2015  12  14       005500      -0.0043002
2015  12  14       005600      -0.014446
2015  12  14       005700      -0.01247
2015  12  14       005800      -0.014408
2015  12  14       005900      -0.047748
2015  12  14       010000      -0.071863
2015  12  14       010100      -0.082644
2015  12  14       010200      -0.085886
2015  12  14       010300      -0.076313
2015  12  14       010400      -0.094684
2015  12  14       010500      -0.085144
2015  12  14       010600      -0.088362
2015  12  14       010700      -0.0901
2015  12  14       010800      -0.10682
2015  12  14       010900      -0.10511
2015  12  14       011000      -0.13149
2015  12  14       011100      -0.12197
2015  12  14       011200      -0.12404
2015  12  14       011300      -0.12161
2015  12  14       011400      -0.14107
2015  12  14       011500      -0.12667
2015  12  14       011600      -0.14157
2015  12  14       011700      -0.12997
2015  12  14       011800      -0.1561
2015  12  14       011900      -0.14343
2015  12  14       012000      -0.14694
2015  12  14       012100      -0.13361
2015  12  14       012200      -0.13882
2015  12  14       012300      -0.11143
2015  12  14       012400      -0.1141
2015  12  14       012500      -0.10002
2015  12  14       012600      -0.11229
2015  12  14       012700      -0.075285
2015  12  14       012800      -0.080855
2015  12  14       012900      -0.057203
2015  12  14       013000      -0.068377
2015  12  14       013100      -0.071465
2015  12  14       013200      -0.093457
2015  12  14       013300      -0.066542
2015  12  14       013400      -0.083845
2015  12  14       013500      -0.097743
2015  12  14       013600      -0.10656
2015  12  14       013700      -0.099529
2015  12  14       013800      -0.1081
2015  12  14       013900      -0.11361
2015  12  14       014000      -0.10925
2015  12  14       014100      -0.093195
2015  12  14       014200      -0.10464
2015  12  14       014300      -0.092185
2015  12  14       014400      -0.10327
2015  12  14       014500      -0.081156
2015  12  14       014600      -0.064016
2015  12  14       014700      -0.057643
2015  12  14       014800      -0.04932
2015  12  14       014900      -0.034807
2015  12  14       015000      -0.055256
2015  12  14       015100      -0.036537
2015  12  14       015200      -0.039504
2015  12  14       015300      -0.037509
2015  12  14       015400      -0.039848
2015  12  14       015500      -0.01634
2015  12  14       015600      -0.0020047
2015  12  14       015700      -0.00072176
2015  12  14       015800      -0.0096375
2015  12  14       015900      0.013185
2015  12  14       020000      -0.026108
2015  12  14       020100      -0.0033094
2015  12  14       020200      0.0038204
2015  12  14       020300      0.041881
2015  12  14       020400      0.0062474
2015  12  14       020500      0.020329
2015  12  14       020600      -0.014209
2015  12  14       020700      0.022527
2015  12  14       020800      0.012671
2015  12  14       020900      0.014263
2015  12  14       021000      0.00105
2015  12  14       021100      0.033237
2015  12  14       021200      0.0067496
2015  12  14       021300      0.0057422
2015  12  14       021400      0.01025
2015  12  14       021500      0.033186
2015  12  14       021600      0.024695
2015  12  14       021700      0.034292
2015  12  14       021800      0.02092
2015  12  14       021900      0.0052034
2015  12  14       022000      -0.026887
2015  12  14       022100      -0.015911
2015  12  14       022200      -0.04491
2015  12  14       022300      -0.04404
