:Product:20160301_Fujian_Huangmeishan_220kV_GIC.txt
:Export:2016/08/06 230820  LocalTime
# Prepared by the NCEPU 
# 
# Units GIC_DATA = A
# The positive and negative features of current data represent current direction
#
#       Real-Time GIC Data
#       福建省宁德市寿宁县黄眉山 N27.3675E119.5335
# 

# UT Date           Time
# YR  MO   DA       HHMMSS            GIC_DATA
#-------------------------------------------------------------------------------------------
2016  03  06       000000      0.059144
2016  03  06       000100      0.040675
2016  03  06       000200      0.061363
2016  03  06       000300      0.082826
2016  03  06       000400      0.091159
2016  03  06       000500      0.077427
2016  03  06       000600      0.088045
2016  03  06       000700      0.063608
2016  03  06       000800      0.076987
2016  03  06       000900      0.065933
2016  03  06       001000      0.055782
2016  03  06       001100      0.049732
2016  03  06       001200      0.063565
2016  03  06       001300      0.044386
2016  03  06       001400      0.059892
2016  03  06       001500      0.021096
2016  03  06       001600      0.050841
2016  03  06       001700      0.057462
2016  03  06       001800      0.04286
2016  03  06       001900      0.029091
2016  03  06       002000      0.029871
2016  03  06       002100      0.030487
2016  03  06       002200      0.043534
2016  03  06       002300      0.04403
2016  03  06       002400      0.040524
2016  03  06       002500      0.024493
2016  03  06       002600      0.016913
2016  03  06       002700      0.0062914
2016  03  06       002800      0.033802
2016  03  06       002900      0.033739
2016  03  06       003000      0.033286
2016  03  06       003100      0.032702
2016  03  06       003200      0.043359
2016  03  06       003300      0.046381
2016  03  06       003400      0.037531
2016  03  06       003500      0.02378
2016  03  06       003600      0.032382
2016  03  06       003700      0.010819
2016  03  06       003800      0.030544
2016  03  06       003900      0.037716
2016  03  06       004000      0.039171
2016  03  06       004100      0.023335
2016  03  06       004200      0.028449
2016  03  06       004300      0.020919
2016  03  06       004400      0.030527
2016  03  06       004500      0.0043885
2016  03  06       004600      0.023681
2016  03  06       004700      0.0068833
2016  03  06       004800      0.017883
2016  03  06       004900      0.024264
2016  03  06       005000      0.039007
2016  03  06       005100      -0.001794
2016  03  06       005200      0.037868
2016  03  06       005300      0.027364
2016  03  06       005400      0.041011
2016  03  06       005500      0.015736
2016  03  06       005600      0.041726
2016  03  06       005700      0.024474
2016  03  06       005800      0.04668
2016  03  06       005900      0.032617
2016  03  06       010000      0.041446
2016  03  06       010100      0.031335
2016  03  06       010200      0.042928
2016  03  06       010300      0.03173
2016  03  06       010400      0.037674
2016  03  06       010500      0.033281
2016  03  06       010600      0.048202
2016  03  06       010700      0.027093
2016  03  06       010800      0.054656
2016  03  06       010900      0.043649
2016  03  06       011000      0.039999
2016  03  06       011100      0.022912
2016  03  06       011200      0.038929
2016  03  06       011300      0.034286
2016  03  06       011400      0.036907
2016  03  06       011500      0.017428
2016  03  06       011600      0.058008
2016  03  06       011700      0.031782
2016  03  06       011800      0.061614
2016  03  06       011900      0.038715
2016  03  06       012000      0.042475
2016  03  06       012100      0.041046
2016  03  06       012200      0.073548
2016  03  06       012300      0.046869
2016  03  06       012400      0.051774
2016  03  06       012500      0.057748
2016  03  06       012600      0.08339
2016  03  06       012700      0.060204
2016  03  06       012800      0.089487
2016  03  06       012900      0.096791
2016  03  06       013000      0.10343
2016  03  06       013100      0.11125
2016  03  06       013200      0.12323
2016  03  06       013300      0.12687
2016  03  06       013400      0.12426
2016  03  06       013500      0.12585
2016  03  06       013600      0.14948
2016  03  06       013700      0.14427
2016  03  06       013800      0.16788
2016  03  06       013900      0.15792
2016  03  06       014000      0.17064
2016  03  06       014100      0.14574
2016  03  06       014200      0.16578
2016  03  06       014300      0.13778
2016  03  06       014400      0.17146
2016  03  06       014500      0.15742
2016  03  06       014600      0.18282
2016  03  06       014700      0.16711
2016  03  06       014800      0.18466
2016  03  06       014900      0.18871
2016  03  06       015000      0.20116
2016  03  06       015100      0.18859
2016  03  06       015200      0.19652
2016  03  06       015300      0.20391
2016  03  06       015400      0.19616
2016  03  06       015500      0.20208
2016  03  06       015600      0.21852
2016  03  06       015700      0.20834
2016  03  06       015800      0.22192
2016  03  06       015900      0.19132
2016  03  06       020000      0.17795
2016  03  06       020100      0.18249
2016  03  06       020200      0.17801
2016  03  06       020300      0.18716
2016  03  06       020400      0.196
2016  03  06       020500      0.1887
2016  03  06       020600      0.18517
2016  03  06       020700      0.18888
2016  03  06       020800      0.19408
2016  03  06       020900      0.18683
2016  03  06       021000      0.19207
2016  03  06       021100      0.18699
2016  03  06       021200      0.21434
2016  03  06       021300      0.1975
2016  03  06       021400      0.19739
2016  03  06       021500      0.22155
2016  03  06       021600      0.22792
2016  03  06       021700      0.218
2016  03  06       021800      0.234
2016  03  06       021900      0.23671
2016  03  06       022000      0.22721
2016  03  06       022100      0.22542
2016  03  06       022200      0.2254
2016  03  06       022300      0.2201
2016  03  06       022400      0.21152
2016  03  06       022500      0.19791
2016  03  06       022600      0.19596
2016  03  06       022700      0.20328
2016  03  06       022800      0.19938
2016  03  06       022900      0.22042
2016  03  06       023000      0.22076
2016  03  06       023100      0.21129
2016  03  06       023200      0.22512
2016  03  06       023300      0.20824
2016  03  06       023400      0.19446
2016  03  06       023500      0.19793
2016  03  06       023600      0.17288
2016  03  06       023700      0.17117
2016  03  06       023800      0.16528
2016  03  06       023900      0.15933
2016  03  06       024000      0.18435
2016  03  06       024100      0.17443
2016  03  06       024200      0.17941
2016  03  06       024300      0.17455
2016  03  06       024400      0.18975
2016  03  06       024500      0.18622
2016  03  06       024600      0.18788
2016  03  06       024700      0.18056
2016  03  06       024800      0.18184
2016  03  06       024900      0.20052
2016  03  06       025000      0.21038
2016  03  06       025100      0.19232
2016  03  06       025200      0.20458
2016  03  06       025300      0.20154
2016  03  06       025400      0.21811
2016  03  06       025500      0.21093
2016  03  06       025600      0.2039
2016  03  06       025700      0.22727
2016  03  06       025800      0.24592
2016  03  06       025900      0.25295
2016  03  06       030000      0.25088
2016  03  06       030100      0.24336
2016  03  06       030200      0.25419
2016  03  06       030300      0.25969
2016  03  06       030400      0.24774
2016  03  06       030500      0.23683
2016  03  06       030600      0.23211
2016  03  06       030700      0.22367
2016  03  06       030800      0.23128
2016  03  06       030900      0.22704
2016  03  06       031000      0.23651
2016  03  06       031100      0.23072
2016  03  06       031200      0.24311
2016  03  06       031300      0.19885
2016  03  06       031400      0.20944
2016  03  06       031500      0.20687
2016  03  06       031600      0.20527
2016  03  06       031700      0.19332
2016  03  06       031800      0.19335
2016  03  06       031900      0.19043
2016  03  06       032000      0.20163
2016  03  06       032100      0.19474
2016  03  06       032200      0.21005
2016  03  06       032300      0.22308
2016  03  06       032400      0.21466
2016  03  06       032500      0.21581
2016  03  06       032600      0.21861
2016  03  06       032700      0.2152
2016  03  06       032800      0.22085
2016  03  06       032900      0.21442
2016  03  06       033000      0.22533
2016  03  06       033100      0.23422
2016  03  06       033200      0.23401
2016  03  06       033300      0.25356
2016  03  06       033400      0.25086
2016  03  06       033500      0.25615
2016  03  06       033600      0.26585
2016  03  06       033700      0.27237
2016  03  06       033800      0.27329
2016  03  06       033900      0.27749
2016  03  06       034000      0.26595
2016  03  06       034100      0.24839
2016  03  06       034200      0.25239
2016  03  06       034300      0.24873
2016  03  06       034400      0.24241
2016  03  06       034500      0.24445
2016  03  06       034600      0.23734
2016  03  06       034700      0.26521
2016  03  06       034800      0.26849
2016  03  06       034900      0.28623
2016  03  06       035000      0.2888
2016  03  06       035100      0.31723
2016  03  06       035200      0.31855
2016  03  06       035300      0.30691
2016  03  06       035400      0.32549
2016  03  06       035500      0.32567
2016  03  06       035600      0.31134
2016  03  06       035700      0.32293
2016  03  06       035800      0.31086
2016  03  06       035900      0.31057
2016  03  06       040000      0.31031
2016  03  06       040100      0.30487
2016  03  06       040200      0.29682
2016  03  06       040300      0.29025
2016  03  06       040400      0.29449
2016  03  06       040500      0.27219
2016  03  06       040600      0.29042
2016  03  06       040700      0.26834
2016  03  06       040800      0.27342
2016  03  06       040900      0.24365
2016  03  06       041000      0.26297
2016  03  06       041100      0.2505
2016  03  06       041200      0.26903
2016  03  06       041300      0.272
2016  03  06       041400      0.25281
2016  03  06       041500      0.23546
2016  03  06       041600      0.23839
2016  03  06       041700      0.19827
2016  03  06       041800      0.17822
2016  03  06       041900      0.1643
2016  03  06       042000      0.13155
2016  03  06       042100      0.11786
2016  03  06       042200      0.079394
2016  03  06       042300      0.072159
2016  03  06       042400      0.059361
2016  03  06       042500      0.094723
2016  03  06       042600      0.097747
2016  03  06       042700      0.088606
2016  03  06       042800      0.075468
2016  03  06       042900      0.072184
2016  03  06       043000      0.1003
2016  03  06       043100      0.13445
2016  03  06       043200      0.15352
2016  03  06       043300      0.12162
2016  03  06       043400      0.15156
2016  03  06       043500      0.13713
2016  03  06       043600      0.15573
2016  03  06       043700      0.15452
2016  03  06       043800      0.1943
2016  03  06       043900      0.2198
2016  03  06       044000      0.24776
2016  03  06       044100      0.2621
2016  03  06       044200      0.27823
2016  03  06       044300      0.30676
2016  03  06       044400      0.31255
2016  03  06       044500      0.29249
2016  03  06       044600      0.2694
2016  03  06       044700      0.25182
2016  03  06       044800      0.23657
2016  03  06       044900      0.22048
2016  03  06       045000      0.23732
2016  03  06       045100      0.20848
2016  03  06       045200      0.2089
2016  03  06       045300      0.21114
2016  03  06       045400      0.19579
2016  03  06       045500      0.22526
2016  03  06       045600      0.23323
2016  03  06       045700      0.24664
2016  03  06       045800      0.25311
2016  03  06       045900      0.24332
2016  03  06       050000      0.24698
2016  03  06       050100      0.23069
2016  03  06       050200      0.25634
2016  03  06       050300      0.26055
2016  03  06       050400      0.26909
2016  03  06       050500      0.27066
2016  03  06       050600      0.29998
2016  03  06       050700      0.28657
2016  03  06       050800      0.28599
2016  03  06       050900      0.2883
2016  03  06       051000      0.29896
2016  03  06       051100      0.2778
2016  03  06       051200      0.28121
2016  03  06       051300      0.24424
2016  03  06       051400      0.23991
2016  03  06       051500      0.20112
2016  03  06       051600      0.18358
2016  03  06       051700      0.15524
2016  03  06       051800      0.13189
2016  03  06       051900      0.14471
2016  03  06       052000      0.17192
2016  03  06       052100      0.19383
2016  03  06       052200      0.26147
2016  03  06       052300      0.3327
2016  03  06       052400      0.3924
2016  03  06       052500      0.37169
2016  03  06       052600      0.34307
2016  03  06       052700      0.31861
2016  03  06       052800      0.25394
2016  03  06       052900      0.17128
2016  03  06       053000      0.12205
2016  03  06       053100      0.1298
2016  03  06       053200      0.12152
2016  03  06       053300      0.069623
2016  03  06       053400      0.051541
2016  03  06       053500      0.03938
2016  03  06       053600      0.035534
2016  03  06       053700      -0.029456
2016  03  06       053800      -0.074935
2016  03  06       053900      -0.032622
2016  03  06       054000      0.0013975
